Case_No,Prompt,LLM,Ground Truth,Prediction
16,P8,Claude-3,0,0
17,P8,Claude-3,0,0
18,P8,Claude-3,0,0
19,P8,Claude-3,0,0
20,P8,Claude-3,0,0
21,P8,Claude-3,1,1
22,P8,Claude-3,1,1
23,P8,Claude-3,1,1
24,P8,Claude-3,1,0
25,P8,Claude-3,1,1
26,P8,Claude-3,0,0
27,P8,Claude-3,0,1
28,P8,Claude-3,0,1
29,P8,Claude-3,0,1
30,P8,Claude-3,0,0
1,P8,Gemini-2,1,1
2,P8,Gemini-2,1,1
3,P8,Gemini-2,1,1
4,P8,Gemini-2,1,1
5,P8,Gemini-2,1,1
6,P8,Gemini-2,0,1
7,P8,Gemini-2,0,1
8,P8,Gemini-2,0,1
9,P8,Gemini-2,0,1
10,P8,Gemini-2,0,0
11,P8,Gemini-2,1,1
12,P8,Gemini-2,1,1
13,P8,Gemini-2,1,1
14,P8,Gemini-2,1,1
15,P8,Gemini-2,1,0
16,P8,Gemini-2,0,0
17,P8,Gemini-2,0,0
18,P8,Gemini-2,0,1
19,P8,Gemini-2,0,1
20,P8,Gemini-2,0,1
21,P8,Gemini-2,1,1
22,P8,Gemini-2,1,1
23,P8,Gemini-2,1,1
24,P8,Gemini-2,1,1
25,P8,Gemini-2,1,1
26,P8,Gemini-2,0,0
27,P8,Gemini-2,0,1
28,P8,Gemini-2,0,1
29,P8,Gemini-2,0,1
30,P8,Gemini-2,0,1
1,P8,DeepSeek,1,1
2,P8,DeepSeek,1,1
3,P8,DeepSeek,1,1
4,P8,DeepSeek,1,1
5,P8,DeepSeek,1,1
6,P8,DeepSeek,0,0
7,P8,DeepSeek,0,1
8,P8,DeepSeek,0,1
9,P8,DeepSeek,0,0
10,P8,DeepSeek,0,0
11,P8,DeepSeek,1,1
12,P8,DeepSeek,1,1
13,P8,DeepSeek,1,1
14,P8,DeepSeek,1,1
15,P8,DeepSeek,1,1
16,P8,DeepSeek,0,0
17,P8,DeepSeek,0,0
18,P8,DeepSeek,0,1
19,P8,DeepSeek,0,1
20,P8,DeepSeek,0,0
21,P8,DeepSeek,1,1
22,P8,DeepSeek,1,1
23,P8,DeepSeek,1,1
24,P8,DeepSeek,1,1
25,P8,DeepSeek,1,1
26,P8,DeepSeek,0,0
27,P8,DeepSeek,0,1
28,P8,DeepSeek,0,1
29,P8,DeepSeek,0,1
30,P8,DeepSeek,0,1
1,P9,GPT-4o,1,1
2,P9,GPT-4o,1,1
3,P9,GPT-4o,1,1
4,P9,GPT-4o,1,1
5,P9,GPT-4o,1,1
6,P9,GPT-4o,0,0
7,P9,GPT-4o,0,0
8,P9,GPT-4o,0,0
9,P9,GPT-4o,0,1
10,P9,GPT-4o,0,1
11,P9,GPT-4o,1,1
12,P9,GPT-4o,1,1
13,P9,GPT-4o,1,1
14,P9,GPT-4o,1,1
15,P9,GPT-4o,1,1
16,P9,GPT-4o,0,0
17,P9,GPT-4o,0,0
18,P9,GPT-4o,0,0
19,P9,GPT-4o,0,0
20,P9,GPT-4o,0,1
21,P9,GPT-4o,1,1
22,P9,GPT-4o,1,1
23,P9,GPT-4o,1,1
24,P9,GPT-4o,1,1
25,P9,GPT-4o,1,1
26,P9,GPT-4o,0,0
27,P9,GPT-4o,0,1
28,P9,GPT-4o,0,1
29,P9,GPT-4o,0,1
30,P9,GPT-4o,0,0
1,P9,Claude-3,1,1
2,P9,Claude-3,1,0
3,P9,Claude-3,1,1
4,P9,Claude-3,1,1
5,P9,Claude-3,1,1
6,P9,Claude-3,0,0
7,P9,Claude-3,0,1
8,P9,Claude-3,0,1
9,P9,Claude-3,0,1
10,P9,Claude-3,0,1
11,P9,Claude-3,1,1
12,P9,Claude-3,1,0
13,P9,Claude-3,1,1
14,P9,Claude-3,1,0
15,P9,Claude-3,1,1
16,P9,Claude-3,0,0
17,P9,Claude-3,0,0
18,P9,Claude-3,0,1
19,P9,Claude-3,0,0
20,P9,Claude-3,0,1
21,P9,Claude-3,1,1
22,P9,Claude-3,1,1
23,P9,Claude-3,1,1
24,P9,Claude-3,1,0
25,P9,Claude-3,1,1
26,P9,Claude-3,0,0
27,P9,Claude-3,0,1
28,P9,Claude-3,0,1
29,P9,Claude-3,0,1
30,P9,Claude-3,0,0
1,P9,Gemini-2,1,1
2,P9,Gemini-2,1,1
3,P9,Gemini-2,1,1
4,P9,Gemini-2,1,1
5,P9,Gemini-2,1,1
6,P9,Gemini-2,0,0
7,P9,Gemini-2,0,1
8,P9,Gemini-2,0,1
9,P9,Gemini-2,0,1
10,P9,Gemini-2,0,0
11,P9,Gemini-2,1,1
12,P9,Gemini-2,1,1
13,P9,Gemini-2,1,1
14,P9,Gemini-2,1,1
15,P9,Gemini-2,1,0
16,P9,Gemini-2,0,0
17,P9,Gemini-2,0,0
18,P9,Gemini-2,0,1
19,P9,Gemini-2,0,0
20,P9,Gemini-2,0,1
21,P9,Gemini-2,1,1
22,P9,Gemini-2,1,1
23,P9,Gemini-2,1,1
24,P9,Gemini-2,1,0
25,P9,Gemini-2,1,1
26,P9,Gemini-2,0,0
27,P9,Gemini-2,0,0
28,P9,Gemini-2,0,0
29,P9,Gemini-2,0,0
30,P9,Gemini-2,0,0
1,P9,DeepSeek,1,1
2,P9,DeepSeek,1,1
3,P9,DeepSeek,1,1
4,P9,DeepSeek,1,1
5,P9,DeepSeek,1,1
6,P9,DeepSeek,0,0
7,P9,DeepSeek,0,0
8,P9,DeepSeek,0,1
9,P9,DeepSeek,0,1
10,P9,DeepSeek,0,0
11,P9,DeepSeek,1,1
12,P9,DeepSeek,1,1
13,P9,DeepSeek,1,1
14,P9,DeepSeek,1,1
15,P9,DeepSeek,1,1
16,P9,DeepSeek,0,0
17,P9,DeepSeek,0,0
18,P9,DeepSeek,0,1
19,P9,DeepSeek,0,0
20,P9,DeepSeek,0,0
21,P9,DeepSeek,1,0
22,P9,DeepSeek,1,1
23,P9,DeepSeek,1,1
24,P9,DeepSeek,1,1
25,P9,DeepSeek,1,1
26,P9,DeepSeek,0,0
27,P9,DeepSeek,0,1
28,P9,DeepSeek,0,0
29,P9,DeepSeek,0,1
30,P9,DeepSeek,0,0
1,P10,GPT-4o,1,1
2,P10,GPT-4o,1,1
3,P10,GPT-4o,1,1
4,P10,GPT-4o,1,1
5,P10,GPT-4o,1,1
6,P10,GPT-4o,0,0
7,P10,GPT-4o,0,0
8,P10,GPT-4o,0,0
9,P10,GPT-4o,0,1
10,P10,GPT-4o,0,1
11,P10,GPT-4o,1,1
12,P10,GPT-4o,1,1
13,P10,GPT-4o,1,1
14,P10,GPT-4o,1,1
15,P10,GPT-4o,1,1
16,P10,GPT-4o,0,0
17,P10,GPT-4o,0,0
18,P10,GPT-4o,0,0
19,P10,GPT-4o,0,0
20,P10,GPT-4o,0,0
21,P10,GPT-4o,1,1
22,P10,GPT-4o,1,1
23,P10,GPT-4o,1,1
24,P10,GPT-4o,1,1
25,P10,GPT-4o,1,1
26,P10,GPT-4o,0,0
27,P10,GPT-4o,0,1
28,P10,GPT-4o,0,1
29,P10,GPT-4o,0,1
30,P10,GPT-4o,0,0
1,P10,Claude-3,1,1
2,P10,Claude-3,1,1
3,P10,Claude-3,1,1
4,P10,Claude-3,1,1
5,P10,Claude-3,1,1
6,P10,Claude-3,0,1
7,P10,Claude-3,0,1
8,P10,Claude-3,0,1
9,P10,Claude-3,0,1
10,P10,Claude-3,0,1
11,P10,Claude-3,1,1
12,P10,Claude-3,1,0
13,P10,Claude-3,1,1
14,P10,Claude-3,1,0
15,P10,Claude-3,1,1
16,P10,Claude-3,0,0
17,P10,Claude-3,0,0
18,P10,Claude-3,0,1
19,P10,Claude-3,0,0
20,P10,Claude-3,0,1
21,P10,Claude-3,1,1
22,P10,Claude-3,1,1
23,P10,Claude-3,1,1
24,P10,Claude-3,1,1
25,P10,Claude-3,1,1
26,P10,Claude-3,0,0
27,P10,Claude-3,0,1
28,P10,Claude-3,0,1
29,P10,Claude-3,0,1
30,P10,Claude-3,0,0
1,P10,Gemini-2,1,1
2,P10,Gemini-2,1,1
3,P10,Gemini-2,1,1
4,P10,Gemini-2,1,1
5,P10,Gemini-2,1,1
6,P10,Gemini-2,0,0
7,P10,Gemini-2,0,1
8,P10,Gemini-2,0,1
9,P10,Gemini-2,0,1
10,P10,Gemini-2,0,1
11,P10,Gemini-2,1,0
12,P10,Gemini-2,1,1
13,P10,Gemini-2,1,1
14,P10,Gemini-2,1,1
15,P10,Gemini-2,1,1
16,P10,Gemini-2,0,0
17,P10,Gemini-2,0,0
18,P10,Gemini-2,0,0
19,P10,Gemini-2,0,0
20,P10,Gemini-2,0,1
21,P10,Gemini-2,1,0
22,P10,Gemini-2,1,1
23,P10,Gemini-2,1,1
24,P10,Gemini-2,1,1
25,P10,Gemini-2,1,1
26,P10,Gemini-2,0,0
27,P10,Gemini-2,0,1
28,P10,Gemini-2,0,0
29,P10,Gemini-2,0,0
30,P10,Gemini-2,0,0
1,P10,DeepSeek,1,1
2,P10,DeepSeek,1,1
3,P10,DeepSeek,1,1
4,P10,DeepSeek,1,1
5,P10,DeepSeek,1,0
6,P10,DeepSeek,0,0
7,P10,DeepSeek,0,0
8,P10,DeepSeek,0,0
9,P10,DeepSeek,0,0
10,P10,DeepSeek,0,0
11,P10,DeepSeek,1,1
12,P10,DeepSeek,1,1
13,P10,DeepSeek,1,1
14,P10,DeepSeek,1,1
15,P10,DeepSeek,1,1
16,P10,DeepSeek,0,0
17,P10,DeepSeek,0,0
18,P10,DeepSeek,0,1
19,P10,DeepSeek,0,1
20,P10,DeepSeek,0,1
21,P10,DeepSeek,1,0
22,P10,DeepSeek,1,1
23,P10,DeepSeek,1,1
24,P10,DeepSeek,1,1
25,P10,DeepSeek,1,1
26,P10,DeepSeek,0,0
27,P10,DeepSeek,0,1
28,P10,DeepSeek,0,0
29,P10,DeepSeek,0,1
30,P10,DeepSeek,0,1
